time,lat,lon,idx,io,isIndoor
2019-03-10T02:46:04.304Z,32.878393,-117.242306,176,building,1
2019-03-10T02:47:28.220Z,32.878383,-117.24231699999999,177,building,1
2019-03-10T02:48:34.476Z,32.878392,-117.242306,178,building,1
2019-03-10T02:49:36.983Z,32.878393,-117.242306,179,building,1
2019-03-10T02:50:39.242Z,32.878394,-117.24230800000001,180,building,1
2019-03-10T02:51:41.390Z,32.878394,-117.24230800000001,181,building,1
2019-03-10T02:52:43.534Z,32.878388,-117.24230800000001,182,building,1
2019-03-10T02:54:12.343Z,32.878386,-117.242313,183,building,1
2019-03-10T02:55:42.713Z,32.878386,-117.242313,184,building,1
2019-03-10T02:56:43.960Z,32.878386,-117.242313,185,building,1
2019-03-10T02:57:45.593Z,32.878386,-117.242313,186,building,1
2019-03-10T02:58:47.767Z,32.878388,-117.24230700000001,187,building,1
2019-03-10T03:00:03.767Z,32.878395000000005,-117.24230800000001,188,building,1
2019-03-10T03:01:35.059Z,32.878396,-117.242309,189,building,1
2019-03-10T03:02:47.675Z,32.878392,-117.24230700000001,190,building,1
2019-03-10T03:03:51.066Z,32.878388,-117.24230700000001,191,building,1
2019-03-10T03:04:52.396Z,32.878388,-117.24230700000001,192,building,1
2019-03-10T03:05:54.655Z,32.878391,-117.242309,193,building,1
2019-03-10T03:07:15.042Z,32.878387,-117.24231,194,building,1
2019-03-10T03:08:30.105Z,32.878396,-117.242309,195,building,1
2019-03-10T03:09:31.389Z,32.878388,-117.24230700000001,196,building,1
2019-03-10T03:10:56.370Z,32.878396,-117.242309,197,building,1
2019-03-10T03:12:16.612Z,32.878389,-117.24231,198,building,1
2019-03-10T03:13:18.183Z,32.878396,-117.242309,199,building,1
2019-03-10T03:14:20.963Z,32.878392,-117.242309,200,building,1
2019-03-10T03:15:56.363Z,32.878396,-117.242309,201,building,1
2019-03-10T03:16:58.532Z,32.87839,-117.24231100000002,202,building,1
2019-03-10T03:18:35.277Z,32.878391,-117.24231100000002,203,building,1
2019-03-10T03:19:37.258Z,32.878386,-117.242309,204,building,1
2019-03-10T03:20:56.386Z,32.878386,-117.242313,205,building,1
2019-03-10T03:22:22.942Z,32.878395000000005,-117.24230800000001,206,building,1
2019-03-10T03:23:25.700Z,32.878396,-117.242309,207,building,1
2019-03-10T03:24:53.355Z,32.878386,-117.242313,208,building,1
2019-03-10T03:25:55.923Z,32.878391,-117.242309,209,building,1
2019-03-10T03:26:58.413Z,32.87839,-117.242305,210,building,1
2019-03-10T03:28:00.644Z,32.878386,-117.242313,211,building,1
2019-03-10T03:29:02.497Z,32.878389,-117.24231100000002,212,building,1
2019-03-10T03:30:37.306Z,32.878386,-117.242313,213,building,1
2019-03-10T03:32:20.669Z,32.878386,-117.242313,214,building,1
2019-03-10T03:33:34.689Z,32.878386,-117.242313,215,building,1
2019-03-10T03:34:36.551Z,32.87839,-117.242306,216,building,1
2019-03-10T03:36:15.752Z,32.878378999999995,-117.24231100000002,217,building,1
2019-03-10T03:37:20.268Z,32.878393,-117.24230800000001,218,building,1
2019-03-10T03:38:22.135Z,32.87839,-117.242306,219,building,1
2019-03-10T03:39:23.653Z,32.878386,-117.242313,220,building,1
2019-03-10T03:40:29.902Z,32.878391,-117.24230800000001,221,building,1
2019-03-10T03:41:30.954Z,32.87839,-117.242306,222,building,1
2019-03-10T03:42:40.551Z,32.878394,-117.24230800000001,223,building,1
2019-03-10T03:43:43.045Z,32.87839,-117.242306,224,building,1
2019-03-10T03:44:45.198Z,32.87839,-117.242306,225,building,1
2019-03-10T03:45:47.044Z,32.87839,-117.242306,226,building,1
2019-03-10T03:47:29.129Z,32.878389,-117.242306,227,building,1
2019-03-10T03:48:34.254Z,32.878386,-117.242313,228,building,1
2019-03-10T03:49:35.650Z,32.878391,-117.24230800000001,229,building,1
2019-03-10T03:50:37.806Z,32.878393,-117.24230800000001,230,building,1
2019-03-10T03:51:40.007Z,32.878394,-117.24230800000001,231,building,1
2019-03-10T03:52:50.706Z,32.878386,-117.242313,232,building,1
2019-03-10T03:53:53.292Z,32.878394,-117.24230800000001,233,building,1
2019-03-10T03:55:29.216Z,32.878395000000005,-117.24230800000001,234,building,1
2019-03-10T03:56:43.365Z,32.878386,-117.242313,235,building,1
2019-03-10T03:57:50.102Z,32.878395000000005,-117.24230800000001,236,building,1
2019-03-10T03:58:52.255Z,32.87839,-117.24230700000001,237,building,1
2019-03-10T03:59:54.665Z,32.878386,-117.242313,238,building,1
2019-03-10T04:00:57.073Z,32.878399,-117.24230700000001,239,building,1
2019-03-10T04:01:59.241Z,32.878394,-117.24230700000001,240,building,1
2019-03-10T04:03:34.257Z,32.878393,-117.242306,241,building,1
2019-03-10T04:04:37.035Z,32.878395000000005,-117.24230800000001,242,building,1
2019-03-10T04:05:39.194Z,32.878396,-117.24230800000001,243,building,1
2019-03-10T04:06:41.602Z,32.878394,-117.24230700000001,244,building,1
2019-03-10T04:07:57.837Z,32.878393,-117.24230800000001,245,building,1
2019-03-10T04:08:59.982Z,32.878387,-117.242318,246,building,1
2019-03-10T04:10:29.800Z,32.878395000000005,-117.24230800000001,247,building,1
2019-03-10T04:11:30.830Z,32.878394,-117.24230800000001,248,building,1
2019-03-10T04:12:32.823Z,32.878406,-117.24231100000002,249,building,1
2019-03-10T04:14:00.385Z,32.878463,-117.242383,250,building,1
2019-03-10T04:15:02.740Z,32.878399,-117.242297,251,building,1
2019-03-10T04:16:03.833Z,32.878391,-117.242306,252,building,1
2019-03-10T04:17:04.874Z,32.878397,-117.24231499999999,253,building,1
2019-03-10T04:18:34.256Z,32.878405,-117.242328,254,building,1
2019-03-10T04:20:03.548Z,32.878401000000004,-117.24231699999999,255,building,1
2019-03-10T04:21:05.745Z,32.878397,-117.24231599999999,256,building,1
2019-03-10T04:22:07.349Z,32.878397,-117.24231599999999,257,building,1
2019-03-10T04:23:09.537Z,32.878403999999996,-117.242327,258,building,1
2019-03-10T04:24:53.449Z,32.878402,-117.24231499999999,259,building,1
2019-03-10T04:25:55.811Z,32.878399,-117.242313,260,building,1
2019-03-10T04:26:57.459Z,32.878403999999996,-117.242327,261,building,1
2019-03-10T04:27:59.822Z,32.878403000000006,-117.24231499999999,262,building,1
2019-03-10T04:29:01.979Z,32.878398,-117.24231499999999,263,building,1
2019-03-10T04:30:12.321Z,32.878403000000006,-117.242328,264,building,1
2019-03-10T04:31:14.429Z,32.878403000000006,-117.24231499999999,265,building,1
2019-03-10T04:32:16.626Z,32.878399,-117.24231599999999,266,building,1
2019-03-10T04:33:35.005Z,32.878397,-117.24231599999999,267,building,1
2019-03-10T04:35:16.800Z,32.878397,-117.24231599999999,268,building,1
2019-03-10T04:36:19.144Z,32.8784,-117.24231499999999,269,building,1
2019-03-10T04:37:24.363Z,32.878391,-117.242309,270,building,1
2019-03-10T04:38:34.078Z,32.878407,-117.242326,271,building,1
2019-03-10T04:39:35.154Z,32.878392,-117.24230800000001,272,building,1
2019-03-10T04:40:37.095Z,32.878391,-117.24230800000001,273,building,1
2019-03-10T04:41:38.133Z,32.878391,-117.24230700000001,274,building,1
2019-03-10T04:42:53.246Z,32.878395000000005,-117.24230700000001,275,building,1
2019-03-10T04:43:54.291Z,32.878391,-117.24230700000001,276,building,1
2019-03-10T04:44:55.337Z,32.878391,-117.24230700000001,277,building,1
2019-03-10T04:46:19.190Z,32.878395000000005,-117.24230700000001,278,building,1
2019-03-10T04:47:54.930Z,32.878388,-117.24230700000001,279,building,1
2019-03-10T04:48:57.193Z,32.878389,-117.242306,280,building,1
2019-03-10T04:50:33.544Z,32.878394,-117.242306,281,building,1
2019-03-10T04:51:35.198Z,32.878395000000005,-117.24230700000001,282,building,1
2019-03-10T04:52:54.806Z,32.878392,-117.24230800000001,283,building,1
2019-03-10T04:53:57.026Z,32.878392,-117.24230800000001,284,building,1
2019-03-10T04:55:28.876Z,32.878392,-117.24230800000001,285,building,1
2019-03-10T04:56:43.462Z,32.878403999999996,-117.242328,286,building,1
2019-03-10T04:57:54.897Z,32.878391,-117.242309,287,building,1
2019-03-10T04:58:56.764Z,32.878392,-117.24230800000001,288,building,1
2019-03-10T04:59:57.821Z,32.878391,-117.242309,289,building,1
