time,latitude,longitude,isDataPoint,within15(M),distanceFromSensor(M),distanceFromSupercomputerSensor(M),insideOutsideVal,locationType:
2019-03-22_ioT12:20,32.8811511,-117.2376443,FALSE,0,2266.4352,404.42878,Outside,amenity
2019-03-22_ioT12:21,32.8811511,-117.2376443,FALSE,0,2266.4352,404.42878,Outside,amenity
2019-03-22_ioT12:22,32.8811861,-117.2376492,TRUE,0,2268.9367,400.81622,Outside,amenity
2019-03-22_ioT12:23,32.8811861,-117.2376492,FALSE,0,2268.9367,400.81622,Outside,amenity
2019-03-22_ioT12:24,32.8811861,-117.2376492,FALSE,0,2268.9367,400.81622,Outside,amenity
2019-03-22_ioT12:25,32.8811861,-117.2376492,FALSE,0,2268.9367,400.81622,Outside,amenity
2019-03-22_ioT12:26,32.8811861,-117.2376492,FALSE,0,2268.9367,400.81622,Outside,amenity
2019-03-22_ioT12:27,32.8811767,-117.23772920000002,TRUE,0,2274.638,398.09566,Outside,amenity
2019-03-22_ioT12:28,32.8811767,-117.23772920000002,FALSE,0,2274.638,398.09566,Outside,amenity
2019-03-22_ioT12:29,32.8811858,-117.2377116,TRUE,0,2273.8076,397.99866,Outside,amenity
2019-03-22_ioT12:30,32.8811858,-117.2377116,FALSE,0,2273.8076,397.99866,Outside,amenity
2019-03-22_ioT12:31,32.8811858,-117.2377116,FALSE,0,2273.8076,397.99866,Outside,amenity
2019-03-22_ioT12:32,32.8811841,-117.23765530000001,TRUE,0,2269.2933,400.72858,Outside,amenity
2019-03-22_ioT12:33,32.8811841,-117.23765530000001,FALSE,0,2269.2933,400.72858,Outside,amenity
2019-03-22_ioT12:34,32.8811841,-117.23765530000001,FALSE,0,2269.2933,400.72858,Outside,amenity
2019-03-22_ioT12:35,32.8811841,-117.23765530000001,FALSE,0,2269.2933,400.72858,Outside,amenity
2019-03-22_ioT12:36,32.8811841,-117.23765530000001,FALSE,0,2269.2933,400.72858,Outside,amenity
2019-03-22_ioT12:37,32.881105100000006,-117.2377207,TRUE,0,2269.6582,405.47769,Outside,amenity
2019-03-22_ioT12:38,32.881105100000006,-117.2377207,FALSE,0,2269.6582,405.47769,Outside,amenity
2019-03-22_ioT12:39,32.881105100000006,-117.2377207,FALSE,0,2269.6582,405.47769,Outside,amenity
2019-03-22_ioT12:40,32.881105100000006,-117.2377207,FALSE,0,2269.6582,405.47769,Outside,amenity
2019-03-22_ioT12:41,32.881105100000006,-117.2377207,FALSE,0,2269.6582,405.47769,Outside,amenity
2019-03-22_ioT12:42,32.8811881,-117.2376952,TRUE,0,2272.6613,398.517,Outside,amenity
2019-03-22_ioT12:43,32.8811881,-117.2376952,FALSE,0,2272.6613,398.517,Outside,amenity
2019-03-22_ioT12:44,32.8811881,-117.2376952,FALSE,0,2272.6613,398.517,Outside,amenity
2019-03-22_ioT12:45,32.8811881,-117.2376952,FALSE,0,2272.6613,398.517,Outside,amenity
2019-03-22_ioT12:46,32.8811881,-117.2376952,FALSE,0,2272.6613,398.517,Outside,amenity
